"","species","clade","color","pch"
"1","Aglaeactis.cupripennis","BRILLIANT","#8A2323",15
"13","Amazilia.amabilis","EMERALD","#698A69",15
"14","Amazilia.lactea","EMERALD","#698A69",16
"16","Amazilia.tzacatl","EMERALD","#698A69",17
"26","Colibri.thalassinus","MANGO","#0000CC",15
"36","Eriocnemis.luciani","BRILLIANT","#8A2323",16
"37","Eugenes.fulgens","GEM","#CCAC00",15
"53","Florisuga.mellivora","TOPAZ","#2F4F4F",15
"54","Glaucis.aenea","HERMIT","#FF0000",15
"59","Glaucis.hirsuta","HERMIT","#FF0000",16
"65","Heliodoxa.aurescens","BRILLIANT","#8A2323",17
"67","Lesbia.victoriae","COQUETTE","#483D8A",15
"79","Metallura.tyrianthina","COQUETTE","#483D8A",16
"85","Oreotrochilus.chimborazo","COQUETTE","#483D8A",17
"90","Panterpe.insignis","GEM","#CCAC00",16
"108","Phaethornis.hispidus","HERMIT","#FF0000",17
"116","Phaethornis.longirostris","HERMIT","#FF0000",18
"134","Phaethornis.malaris","HERMIT","#FF0000",21
"140","Phaethornis.ruber","HERMIT","#FF0000",22
"149","Phaethornis.striigularis","HERMIT","#FF0000",23
"170","Selasphorus.flammula","BEE","#CC00CC",15
"174","Thalurania.colombica","EMERALD","#698A69",18
"178","Thalurania.furcata","EMERALD","#698A69",21
"197","Threnetes.leucurus","HERMIT","#FF0000",24
"198","Threnetes.ruckeri","HERMIT","#FF0000",25
